path,temperature,humidity,rainfall
lab/train/Early_blight/004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B 8253.JPG,27.47,73.74,4.16
lab/train/Early_blight/0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437.JPG,26.12,65.6,6.66
lab/train/Early_blight/03b4571c-b1eb-4e2a-b372-307046913f50___RS_Erly.B 7548.JPG,29.51,79.81,6.97
lab/train/Early_blight/03b7a13c-f5c0-44c4-beed-443841670e9a___RS_Erly.B 8225.JPG,24.55,69.66,2.14
lab/train/Early_blight/0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B 8446.JPG,25.85,64.42,5.6
lab/train/Early_blight/055ae8d8-09e1-4b27-b385-9ff8a3e0eaae___RS_Erly.B 8247.JPG,24.28,60.89,3.51
lab/train/Early_blight/074bc781-f586-46b0-bef5-0237e3bf5043___RS_Erly.B 8375.JPG,25.44,71.79,3.52
lab/train/Early_blight/089243e5-f319-4ed2-b10c-603328ff4143___RS_Erly.B 9428.JPG,27.48,67.66,5.43
lab/train/Early_blight/0abc57ec-7f3b-482a-8579-21f3b2fb780b___RS_Erly.B 7609.JPG,26.22,64.41,3.21
lab/train/Early_blight/0bd357fe-1e54-4c65-979c-e894e0b8a3aa___RS_Erly.B 8328.JPG,28.46,71.19,7.32
lab/train/Early_blight/0cd17aff-13d8-439a-ac08-dae1aea55edb___RS_Erly.B 7828.JPG,30.0,69.01,7.36
lab/train/Early_blight/0db67be3-f733-4d15-b7d9-5d075b2cafc7___RS_Erly.B 6401.JPG,26.38,61.45,6.27
lab/train/Early_blight/0efaac13-1988-48db-aec3-f31df3045b95___RS_Erly.B 8342.JPG,29.05,66.14,7.29
lab/train/Early_blight/0f065614-a53a-4c83-9d29-5d3e4ab5b41d___RS_Erly.B 7676.JPG,26.1,60.59,3.36
lab/train/Early_blight/0fbc786c-62a7-44f3-8db8-2649809bf1aa___RS_Erly.B 9514.JPG,29.24,75.39,7.63
lab/train/Early_blight/0fc8cb27-a10f-4587-a91d-4dbec9f839c7___RS_Erly.B 7715.JPG,24.31,69.01,4.11
lab/train/Early_blight/113562f3-fe24-4b28-9ec8-7ca432bded47___RS_Erly.B 9402.JPG,28.08,65.08,6.68
lab/train/Early_blight/13c87a78-0a62-4aff-b6f3-fcbf1a8323e6___RS_Erly.B 9612.JPG,26.6,67.71,2.63
lab/train/Early_blight/150cfe75-133e-4e98-90cb-de96a8120c03___RS_Erly.B 9414.JPG,24.23,76.26,5.22
lab/train/Early_blight/17a09abf-ee69-4d46-ac80-f8608d799b19___RS_Erly.B 7451.JPG,25.06,76.7,7.35
lab/train/Early_blight/18a21f42-8794-4665-8174-b0ccd3758af8___RS_Erly.B 7650.JPG,24.13,64.85,5.22
lab/train/Early_blight/18d8f15c-4948-4506-ae09-54169f95cf36___RS_Erly.B 7496.JPG,27.1,79.0,4.61
lab/train/Early_blight/1bb0101c-d0a4-41a5-85b9-6e8634d01a36___RS_Erly.B 9585.JPG,26.73,68.96,2.05
lab/train/Early_blight/1c71757d-d351-4016-b5bb-06a63d0f2e24___RS_Erly.B 6388.JPG,29.09,60.08,5.89
lab/train/Early_blight/1cebc4a1-5fb6-4168-8e18-e2973ef6d18f___RS_Erly.B 9552.JPG,29.98,65.63,4.11
lab/train/Early_blight/1e08cf06-c20b-47bc-8773-a22cc730aa04___RS_Erly.B 8228.JPG,25.9,69.22,6.78
lab/train/Early_blight/203d84bc-4acc-4cad-b4f9-f659ae641876___RS_Erly.B 7615.JPG,25.41,65.96,3.87
lab/train/Early_blight/22247648-1650-43d5-8a9b-e03f63cf2f1c___RS_Erly.B 7535.JPG,24.46,73.95,6.68
lab/train/Early_blight/2419fd79-cda0-4ba4-be14-31c92a2e91dd___RS_Erly.B 8255.JPG,28.83,69.37,7.86
lab/train/Early_blight/24455ffa-8700-475c-8b4e-a7775f40ad3f___RS_Erly.B 8365.JPG,27.6,60.9,5.48
lab/train/Early_blight/24f5a397-b5ac-451c-b979-28ee2bb056e6___RS_Erly.B 7795.JPG,26.32,71.45,2.26
lab/train/Early_blight/25b96058-36c9-4213-bb16-088e76cb30b1___RS_Erly.B 9417.JPG,29.45,62.18,2.44
lab/train/Early_blight/264bc13b-2bcd-40f8-ae25-23aef0ccdc64___RS_Erly.B 7589.JPG,25.91,77.27,7.41
lab/train/Early_blight/289ba10b-f518-445a-8c54-cc981e2ffe34___RS_Erly.B 7399.JPG,24.94,62.16,3.64
lab/train/Early_blight/29f6e3c2-0bf9-42fe-9a39-aef42acd5191___RS_Erly.B 9480.JPG,26.16,70.39,2.82
lab/train/Early_blight/2bdca297-e0d1-41f0-b1dc-3801384faa1a___RS_Erly.B 7858.JPG,25.09,69.77,2.48
lab/train/Early_blight/2d3d1221-2f62-43ad-8256-b560c1872934___RS_Erly.B 7465.JPG,25.53,71.53,4.76
lab/train/Early_blight/2f3c483a-b18d-4571-8c00-fb24f166d328___RS_Erly.B 7667.JPG,26.73,70.37,6.76
lab/train/Early_blight/2f823081-0654-47f1-bb1e-88d7e99a94ca___RS_Erly.B 9542.JPG,28.93,65.33,5.24
lab/train/Early_blight/30c5bc48-7b5e-4bc0-9f0c-096042dacde2___RS_Erly.B 6333.JPG,26.3,62.53,2.44
lab/train/Early_blight/325b9138-a030-4156-ae85-20de17e89f7e___RS_Erly.B 7807.JPG,26.44,70.67,7.85
lab/train/Early_blight/33cd99f1-1f8a-497b-b4fc-60ff78af4b8a___RS_Erly.B 8378.JPG,29.55,73.05,5.32
lab/train/Early_blight/352ced01-4645-44e5-bc3e-1b7172deb883___RS_Erly.B 7758.JPG,27.96,64.87,2.22
lab/train/Early_blight/366e550d-8604-44cd-b239-325d9e14a4f4___RS_Erly.B 6378.JPG,26.13,71.66,2.37
lab/train/Early_blight/3889a459-3e30-4345-83e1-57c68b32af30___RS_Erly.B 7638.JPG,24.85,72.92,2.15
lab/train/Early_blight/3b0f2e65-0005-4b3a-b63c-4ec99b3b92e5___RS_Erly.B 8227.JPG,28.33,74.3,7.96
lab/train/Early_blight/3d8e1f90-be34-4da7-b124-a98eddb346d1___RS_Erly.B 7414.JPG,26.51,62.49,7.1
lab/train/Early_blight/407d9731-c2d8-48c1-8712-9719c185791c___RS_Erly.B 9496.JPG,24.87,67.32,2.37
lab/train/Early_blight/40e8b878-dc2f-4cbd-ac31-c07f372bb0fa___RS_Erly.B 7369.JPG,29.65,65.78,6.64
lab/train/Early_blight/420da335-510d-4e55-ac9c-2cad3530ad68___RS_Erly.B 8442.JPG,25.13,71.09,3.57
lab/train/Early_blight/42a9a952-29d4-4a66-9dd9-65ebaac0db93___RS_Erly.B 7815.JPG,29.7,63.23,7.23
lab/train/Early_blight/42d072db-d17e-4050-882a-6a8d1c1ede05___RS_Erly.B 8430.JPG,29.94,68.19,6.75
lab/train/Early_blight/4490b039-427d-414c-836d-a1fda6c1ad49___RS_Erly.B 8369.JPG,24.14,61.65,2.85
lab/train/Early_blight/45d27217-fbb3-4b74-93e7-d84f70b784f8___RS_Erly.B 7713.JPG,27.82,71.01,5.05
lab/train/Early_blight/47465f0e-80ef-4641-b24b-7147dd82596d___RS_Erly.B 9473.JPG,27.67,70.61,4.81
lab/train/Early_blight/48749ece-911d-440f-873d-475e58132969___RS_Erly.B 7479.JPG,24.22,64.57,6.95
lab/train/Early_blight/493f53cc-b8d5-4c71-9446-30f0365f1e4b___RS_Erly.B 7583.JPG,24.16,71.26,5.7
lab/train/Early_blight/49c8f57f-3418-45db-b807-6192c20dfc6a___RS_Erly.B 7784.JPG,29.58,74.32,6.76
lab/train/Early_blight/4c927622-ea22-4718-8e36-319218ee53bf___RS_Erly.B 7712.JPG,26.19,68.35,7.9
lab/train/Early_blight/4d80e993-6d3e-4537-92ba-39834a88e50c___RS_Erly.B 7632.JPG,28.89,75.33,3.74
lab/train/Early_blight/4d88d7a6-b49c-4927-81de-60b6b807c839___RS_Erly.B 7655.JPG,25.0,63.13,4.31
lab/train/Early_blight/4ec7e2e9-7fc3-46de-a42d-eec0cbcc990e___RS_Erly.B 7532.JPG,26.14,67.88,5.82
lab/train/Early_blight/4fd3f0e7-cdd9-4151-8734-5f0ad1f52614___RS_Erly.B 9564.JPG,25.51,61.39,3.33
lab/train/Early_blight/52082b15-4350-415a-be8c-bb0e0fc3ab88___RS_Erly.B 6332.JPG,28.31,71.27,7.35
lab/train/Early_blight/54d55df4-c760-4191-b998-d1e1493a35f5___RS_Erly.B 7524.JPG,26.97,73.59,5.68
lab/train/Early_blight/552787d3-3937-4ee5-9824-6b78e90e5cbb___RS_Erly.B 7510.JPG,26.28,69.37,6.61
lab/train/Early_blight/5595a78c-8a56-4ee2-b085-a96c6fb67846___RS_Erly.B 7716.JPG,28.5,68.48,7.83
lab/train/Early_blight/5688c1fd-cd1f-4fb5-9e0b-d12c0c095023___RS_Erly.B 9511.JPG,29.29,79.59,7.42
lab/train/Early_blight/5a50d734-271b-43f8-991f-b6e6f264b686___RS_Erly.B 6488.JPG,28.44,69.94,7.95
lab/train/Early_blight/5a62e38f-8042-4ca8-8df6-2bdeed7e9a7b___RS_Erly.B 9493.JPG,27.02,66.81,3.45
lab/train/Early_blight/5b71fe03-84fc-4866-9bf8-e557ce918c6e___RS_Erly.B 9580.JPG,26.58,70.05,6.36
lab/train/Early_blight/5b86ab6a-3823-4886-85fd-02190898563c___RS_Erly.B 8452.JPG,26.58,68.53,6.29
lab/train/Early_blight/5c81bfc2-d377-4fc8-9f51-ff26a997c20b___RS_Erly.B 6345.JPG,25.85,72.24,2.54
lab/train/Early_blight/5fdc3c4f-b88a-4aef-8a56-87336f220ff4___RS_Erly.B 6376.JPG,24.21,73.79,7.84
lab/train/Early_blight/61f57acc-088f-45e0-b0b5-860120082ae9___RS_Erly.B 7388.JPG,28.59,60.93,4.37
lab/train/Early_blight/620df2cc-834d-48b9-b9a8-11da26395739___RS_Erly.B 9557.JPG,25.46,65.97,4.06
lab/train/Early_blight/64fade29-cabf-4ec2-a5cf-8c7aeca19eea___RS_Erly.B 6427.JPG,28.95,66.04,5.39
lab/train/Early_blight/654d7c11-664e-47c0-a6aa-c5c45a07e386___RS_Erly.B 7799.JPG,29.05,61.11,4.0
lab/train/Early_blight/65bcbda1-eee5-4bab-ab07-128c2a2f8ed4___RS_Erly.B 7461.JPG,24.96,60.86,7.23
lab/train/Early_blight/6797ee0c-20a8-4a39-ab57-f65eb9c57885___RS_Erly.B 7647.JPG,25.41,70.07,6.73
lab/train/Early_blight/68d12608-22a0-4b11-ab99-37cb4cd6fdce___RS_Erly.B 6392.JPG,28.88,64.46,7.54
lab/train/Early_blight/69ec13bc-48bf-4a91-adc0-acb4386979ac___RS_Erly.B 7732.JPG,26.09,78.67,7.18
lab/train/Early_blight/6ccc0cdb-d420-4bc6-9a1a-d195a0521c19___RS_Erly.B 9437.JPG,26.72,63.74,7.72
lab/train/Early_blight/6ceca8a9-a257-4238-a779-bdb0dccc528e___RS_Erly.B 7604.JPG,29.57,62.14,6.02
lab/train/Early_blight/70de9ac6-f90f-441f-a51f-217f55213234___RS_Erly.B 9568.JPG,28.8,76.79,7.22
lab/train/Early_blight/70ef2f0f-3070-443d-b94f-983b87b41791___RS_Erly.B 9385.JPG,27.74,77.3,6.01
lab/train/Early_blight/73cf82cf-a099-4243-a7a6-b06c79eedb65___RS_Erly.B 7412.JPG,24.23,69.83,4.71
lab/train/Early_blight/75128610-8633-4000-8f74-17b6cff222d7___RS_Erly.B 6341.JPG,27.44,61.4,7.13
lab/train/Early_blight/757b49d0-db8e-4352-820a-9f0bdb7d2657___RS_Erly.B 7748.JPG,28.07,79.59,5.82
lab/train/Early_blight/765d8e2a-ebad-4fd5-a968-a9d21986268d___RS_Erly.B 6481.JPG,29.22,73.24,7.85
lab/train/Early_blight/77bd1b85-eaed-41f8-97b0-d6e91b6f953d___RS_Erly.B 8212.JPG,27.73,71.71,6.33
lab/train/Early_blight/784f629e-77a3-4d3b-b83c-9ef67b646234___RS_Erly.B 7371.JPG,26.69,66.71,2.44
lab/train/Early_blight/7a259d3d-cca4-4041-88ec-d3140cd96f25___RS_Erly.B 7415.JPG,27.72,61.87,3.62
lab/train/Early_blight/7b085d56-6867-4946-8208-5823afeba034___RS_Erly.B 7384.JPG,26.8,61.41,4.26
lab/train/Early_blight/7b7780c0-f1b2-4095-924c-f3d7777b427e___RS_Erly.B 9613.JPG,29.05,61.16,3.72
lab/train/Early_blight/7d8a95e9-ea83-44f4-9f7c-ad4692b1ce1f___RS_Erly.B 7534.JPG,29.38,74.15,4.13
lab/train/Early_blight/801083ae-26f9-4a9a-9e9a-f73fb18b67e5___RS_Erly.B 7363.JPG,27.73,71.44,4.94
lab/train/Early_blight/801a593c-82f7-4433-8c30-9defa319bdb7___RS_Erly.B 9609.JPG,25.5,74.13,3.11
lab/train/Early_blight/81c427f2-5e52-43e2-a000-0a2a973e18f6___RS_Erly.B 7769.JPG,26.23,64.59,2.64
lab/train/Early_blight/8405be22-ecbb-4cec-a87d-e0d454b9926d___RS_Erly.B 7847.JPG,24.35,63.56,5.71
lab/train/Early_blight/84e8f373-1499-4e1e-afcc-ca5ec48d661c___RS_Erly.B 6440.JPG,26.06,67.01,3.44
